LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Overall
79,79,79,86,85,85,85,86,87,87,87,85,83,83,83,85,71,70,70,70,71,67,58,58,58,67,79,79,48,88,75,91,91,86,83,92,89,75,92,83,93,83,59,79,61,93,59,49,84,90,70,85,55,54,47,12,7,9,14,6,88
86,86,86,86,86,86,86,86,85,85,85,85,80,80,80,85,73,70,70,70,73,71,67,67,67,71,87,86,84,85,85,87,90,87,80,85,94,95,82,85,65,92,87,75,80,91,65,59,85,79,76,86,54,55,52,15,15,11,5,6,88
85,85,85,81,83,83,83,81,80,80,80,78,71,71,71,78,55,53,53,53,55,51,48,48,48,51,68,92,80,75,90,84,74,62,59,85,73,73,75,86,69,86,79,70,85,80,50,20,92,74,70,86,35,22,18,5,12,7,5,10,88
84,84,84,76,81,81,81,76,76,76,76,74,68,68,68,74,54,53,53,53,54,52,51,51,51,52,46,91,91,73,85,77,58,45,54,81,77,78,76,88,76,84,94,72,76,70,56,22,92,64,82,85,45,24,20,13,9,5,7,9,87
84,84,84,79,82,82,82,79,78,78,78,77,70,70,70,77,60,58,58,58,60,58,55,55,55,58,55,90,81,74,87,83,70,51,49,83,78,85,77,87,63,86,77,80,76,80,77,40,91,65,78,81,34,33,32,6,8,15,12,6,87
78,78,78,86,85,85,85,86,86,86,86,85,78,78,78,85,65,60,60,60,65,60,46,46,46,60,77,86,35,82,70,91,82,79,74,89,93,85,94,88,92,80,60,75,42,81,59,36,87,83,79,81,25,40,40,7,10,8,10,4,87
82,82,82,84,84,84,84,84,82,82,82,83,74,74,74,83,65,59,59,59,65,61,52,52,52,61,83,81,72,79,85,88,82,68,64,85,93,96,88,81,81,86,64,79,70,78,61,34,84,82,71,78,36,32,35,8,12,9,9,14,86
75,75,75,84,82,82,82,84,84,84,84,84,80,80,80,84,68,65,65,65,68,63,53,53,53,63,85,75,51,85,69,92,83,67,79,91,84,74,90,82,88,70,50,78,48,72,58,49,83,86,68,85,49,44,35,9,10,14,12,9,86
76,76,76,84,83,83,83,84,83,83,83,84,77,77,77,84,69,63,63,63,69,66,52,52,52,66,77,77,38,84,67,88,70,63,69,87,95,92,93,87,93,73,57,78,52,73,38,30,87,77,69,77,47,58,54,15,12,12,15,9,86
74,74,74,82,81,81,81,82,85,85,85,82,83,83,83,82,71,73,73,73,71,68,63,63,63,68,77,70,54,90,74,90,80,70,85,92,70,67,79,86,84,65,47,55,58,71,58,66,81,93,71,89,67,57,56,6,13,6,13,7,86
77,77,77,84,82,82,82,84,83,83,83,83,77,77,77,83,63,59,59,59,63,57,47,47,47,57,81,80,48,82,72,91,84,78,76,90,88,83,93,77,88,79,61,76,54,81,48,39,80,81,73,86,45,31,18,15,9,13,11,6,85
82,82,82,81,83,83,83,81,81,81,81,79,74,74,74,79,62,60,60,60,62,59,54,54,54,59,64,88,73,80,81,85,74,71,59,83,81,84,85,85,85,83,76,79,73,75,70,42,86,76,84,85,29,42,30,11,6,9,5,6,85
81,81,81,82,82,82,82,82,82,82,82,82,77,77,77,82,65,64,64,64,65,62,57,57,57,62,77,80,73,77,83,87,79,78,75,86,86,79,90,83,87,84,87,83,72,81,79,46,84,82,77,84,38,44,35,10,10,15,12,13,85
82,82,82,77,80,80,80,77,78,78,78,76,74,74,74,76,59,61,61,61,59,56,55,55,55,56,63,89,84,77,77,76,65,54,72,84,65,66,57,83,36,86,66,76,80,79,51,50,89,74,67,83,58,28,16,9,11,13,15,15,85
82,82,82,76,79,79,79,76,75,75,75,75,69,69,69,75,61,61,61,61,61,59,61,61,61,59,65,87,82,65,81,77,62,59,52,83,74,76,58,85,53,83,64,76,92,74,93,40,87,74,75,83,58,39,34,11,13,12,8,11,85
81,81,81,81,82,82,82,81,81,81,81,80,73,73,73,80,57,56,56,56,57,53,49,49,49,53,75,81,80,83,82,83,79,73,62,86,76,76,76,83,66,81,73,75,80,75,65,22,86,85,82,79,47,15,12,13,11,5,5,7,85
82,82,82,77,80,80,80,77,79,79,79,76,73,73,73,76,55,57,57,57,55,51,52,52,52,51,73,86,83,79,86,79,82,82,73,84,58,59,75,82,39,90,68,61,86,82,84,20,85,79,89,90,28,37,24,13,15,10,9,12,85
81,81,81,82,82,82,82,82,80,80,80,81,73,73,73,81,64,60,60,60,64,61,54,54,54,61,76,84,69,77,74,87,84,54,60,86,88,89,85,81,81,84,74,75,75,80,58,42,83,73,81,79,38,39,36,9,8,8,15,11,84
80,80,80,82,82,82,82,82,82,82,82,82,75,75,75,82,60,58,58,58,60,56,50,50,50,56,79,79,65,80,74,85,85,88,74,85,87,87,82,79,79,87,74,79,80,81,76,28,83,82,75,79,29,31,20,8,14,6,12,10,84
82,82,82,83,83,83,83,83,81,81,81,81,73,73,73,81,61,57,57,57,61,56,49,49,49,56,80,88,78,79,83,86,80,76,64,85,85,78,87,85,74,79,68,75,60,82,63,39,86,75,82,85,39,21,18,12,16,9,12,13,84
74,74,74,82,81,81,81,82,82,82,82,82,79,79,79,82,71,67,67,67,71,66,54,54,54,66,76,77,31,80,59,88,82,83,77,84,91,86,89,82,79,79,41,85,60,81,44,55,80,83,70,79,43,57,51,14,12,13,7,13,84
82,82,82,80,82,82,82,80,81,81,81,78,76,76,76,78,58,58,58,58,58,54,51,51,51,54,70,88,84,76,85,84,85,77,75,88,65,64,77,85,69,84,69,66,63,85,61,34,87,83,84,87,31,36,25,12,11,7,8,5,84
81,81,81,76,79,79,79,76,77,77,77,74,72,72,72,74,57,59,59,59,57,55,57,57,57,55,55,86,89,79,84,75,83,73,58,82,69,66,76,85,75,79,91,68,75,80,75,41,88,70,81,87,39,42,19,10,13,6,9,5,84
76,76,76,83,82,82,82,83,82,82,82,82,74,74,74,82,63,58,58,58,63,59,46,46,46,59,78,78,43,78,76,90,78,64,70,83,93,92,90,82,85,83,59,73,46,70,54,36,79,84,75,75,42,30,33,6,6,14,10,13,83
78,78,78,82,82,82,82,82,82,82,82,83,78,78,78,83,65,61,61,61,65,60,50,50,50,60,83,74,64,83,76,85,86,78,82,83,88,87,85,84,76,82,64,86,70,78,62,40,82,83,77,81,24,35,33,12,12,13,15,13,83
81,81,81,74,77,77,77,74,73,73,73,71,64,64,64,71,53,51,51,51,53,51,51,51,51,51,56,85,83,73,82,75,59,67,47,74,79,83,55,84,55,85,84,56,87,82,65,32,83,58,77,79,26,27,24,8,11,20,19,20,83
81,81,81,81,81,81,81,81,78,78,78,80,69,69,69,80,61,55,55,55,61,57,49,49,49,57,69,87,76,77,82,83,62,56,55,84,93,93,81,86,76,74,78,83,59,67,63,37,85,61,72,74,39,20,19,9,9,8,15,9,83
75,75,75,81,80,80,80,81,81,81,81,82,78,78,78,82,69,65,65,65,69,65,55,55,55,65,86,73,52,83,54,82,82,75,75,83,84,79,79,85,84,82,68,90,57,80,65,44,81,83,56,75,42,50,44,9,16,9,9,7,83
80,80,80,76,78,78,78,76,75,75,75,74,69,69,69,74,61,59,59,59,61,60,56,56,56,60,61,83,80,78,79,78,71,56,56,81,77,80,70,82,69,81,72,72,74,77,55,40,83,58,73,72,43,41,41,15,12,7,12,10,83
78,78,78,82,81,81,81,82,80,80,80,80,74,74,74,80,65,62,62,62,65,62,54,54,54,62,74,81,46,79,83,87,64,62,68,83,92,90,87,80,88,85,64,68,68,81,63,38,80,74,68,74,45,48,45,14,10,10,9,7,83
80,80,80,80,81,81,81,80,79,79,79,79,71,71,71,79,63,59,59,59,63,61,55,55,55,61,72,78,80,78,77,82,83,67,58,82,88,91,84,80,77,83,78,78,72,76,60,31,83,74,77,77,44,41,40,7,13,10,11,5,83
80,80,80,68,75,75,75,68,70,70,70,67,67,67,67,67,54,57,57,57,54,53,57,57,57,53,38,87,94,73,85,68,61,30,37,74,49,54,32,85,32,82,51,82,92,72,70,39,89,68,88,81,38,45,26,6,12,15,11,8,83
80,80,80,78,79,79,79,78,78,78,78,76,70,70,70,76,54,53,53,53,54,50,45,45,45,50,68,85,67,78,78,81,78,78,66,85,76,82,71,68,50,89,74,66,86,79,70,30,79,74,92,81,10,22,20,2,2,2,4,2,83
80,80,80,73,77,77,77,73,72,72,72,71,64,64,64,71,56,55,55,55,56,54,55,55,55,54,42,88,84,68,80,78,64,56,42,75,78,79,79,76,75,81,83,83,84,67,83,31,85,61,77,75,55,23,32,13,7,12,14,7,82
81,81,81,79,80,80,80,79,78,78,78,77,68,68,68,77,56,52,52,52,56,52,48,48,48,52,73,80,86,78,80,83,76,44,51,82,76,86,66,79,60,80,84,68,78,72,56,24,85,76,70,76,37,14,20,4,5,4,4,5,82
80,80,80,82,82,82,82,82,81,81,81,80,73,73,73,80,61,58,58,58,61,58,51,51,51,58,74,84,74,78,78,84,80,76,66,83,87,83,91,83,87,79,81,69,60,69,55,44,87,79,76,84,34,33,26,6,13,9,7,7,82
76,76,76,82,80,80,80,82,80,80,80,81,71,71,71,81,60,55,55,55,60,55,45,45,45,55,81,77,47,75,61,90,57,51,65,87,89,92,88,77,82,78,57,76,75,68,73,23,78,77,66,81,22,29,28,15,10,15,11,10,82
73,73,73,80,79,79,79,80,81,81,81,80,80,80,80,80,73,73,73,73,73,70,64,64,64,70,75,78,41,84,65,84,80,76,78,82,86,76,89,81,92,70,88,79,67,79,56,73,72,84,74,80,56,68,55,16,16,9,14,9,82
81,81,81,74,78,78,78,74,75,75,75,73,69,69,69,73,56,57,57,57,56,54,55,55,55,54,54,84,84,78,80,79,68,71,50,80,62,65,65,81,43,84,72,73,90,77,65,35,87,68,80,75,40,32,30,15,14,16,15,8,82
75,75,75,82,81,81,81,82,82,82,82,81,75,75,75,81,59,56,56,56,59,54,41,41,41,54,72,80,34,80,75,86,90,93,76,86,88,80,94,80,91,80,34,77,42,81,75,26,82,81,73,82,23,29,28,6,3,6,3,3,82
79,79,79,80,81,81,81,80,82,82,82,80,78,78,78,80,64,64,64,64,64,60,56,56,56,60,81,83,63,84,80,82,80,69,80,85,69,67,74,85,76,81,65,71,72,79,63,41,85,83,90,86,57,38,34,12,7,5,13,9,82
79,79,79,79,80,80,80,79,79,79,79,77,72,72,72,77,58,56,56,56,58,55,49,49,49,55,71,86,67,76,79,83,83,80,67,85,72,67,71,83,73,81,67,70,66,79,67,29,86,75,88,83,30,28,38,8,9,9,11,9,82
76,76,76,80,79,79,79,80,78,78,78,79,72,72,72,79,64,59,59,59,64,60,52,52,52,60,75,77,60,74,75,84,72,65,67,80,94,93,91,77,76,76,75,80,59,76,64,45,77,75,64,77,45,35,29,11,10,14,14,10,81
79,79,79,80,80,80,80,80,79,79,79,79,71,71,71,79,62,59,59,59,62,59,55,55,55,59,78,77,70,79,68,82,49,53,66,81,92,94,80,78,55,85,86,75,85,78,66,21,76,75,64,71,52,38,31,14,15,14,10,13,81
79,79,79,75,78,78,78,75,74,74,74,74,66,66,66,74,53,52,52,52,53,50,47,47,47,50,60,84,75,68,78,80,69,58,55,80,73,75,73,80,77,80,74,66,74,60,58,34,90,68,80,78,40,16,14,12,12,8,5,8,81
79,79,79,79,79,79,79,79,78,78,78,78,73,73,73,78,62,59,59,59,62,58,53,53,53,58,78,82,73,76,81,78,78,74,68,79,78,77,79,81,78,83,75,82,77,81,63,39,83,78,65,76,29,40,30,11,15,16,12,15,81
79,79,79,73,75,75,75,73,72,72,72,71,66,66,66,71,55,55,55,55,55,54,52,52,52,54,58,88,78,63,76,74,71,74,62,78,69,74,68,75,63,85,62,73,78,82,67,36,81,60,79,72,35,34,32,9,16,16,15,6,81
73,73,73,80,79,79,79,80,80,80,80,80,75,75,75,80,64,61,61,61,64,59,49,49,49,59,77,69,38,81,80,85,83,79,72,83,86,77,91,81,83,78,63,77,62,77,57,41,81,80,83,76,30,47,35,6,9,7,7,8,81
79,79,79,74,77,77,77,74,74,74,74,72,67,67,67,72,61,60,60,60,61,60,62,62,62,60,52,80,79,71,81,77,71,56,45,79,79,79,76,78,69,85,89,76,88,72,87,40,83,66,79,72,54,42,50,7,13,9,7,9,81
73,73,73,81,79,79,79,81,81,81,81,81,76,76,76,81,69,63,63,63,69,65,53,53,53,65,82,67,42,82,74,84,84,84,76,86,88,86,92,78,90,81,51,75,48,77,48,36,76,82,68,78,55,48,60,12,10,7,15,9,81
79,79,79,81,81,81,81,81,80,80,80,81,76,76,76,81,72,68,68,68,72,70,64,64,64,70,78,77,73,75,72,85,79,64,72,84,89,87,83,80,76,80,87,85,63,76,69,60,83,76,75,81,49,60,56,9,11,9,5,14,81
79,79,79,77,79,79,79,77,78,78,78,76,70,70,70,76,56,55,55,55,56,53,48,48,48,53,56,84,70,77,79,77,78,69,62,78,88,85,75,74,66,80,67,74,75,81,67,32,84,75,74,73,26,28,24,16,9,16,15,10,81
78,78,78,79,80,80,80,79,80,80,80,79,78,78,78,79,70,70,70,70,70,68,65,65,65,68,76,79,64,85,86,78,79,69,69,83,74,67,70,84,78,81,73,78,69,83,74,60,84,83,80,83,59,61,50,7,10,13,11,12,81
78,78,78,80,80,80,80,80,80,80,80,79,73,73,73,79,59,56,56,56,59,54,46,46,46,54,79,81,70,81,82,83,81,71,66,83,78,80,81,78,81,74,68,74,67,80,57,37,81,81,72,80,31,22,14,8,14,8,13,10,81
79,79,79,77,79,79,79,77,78,78,78,75,72,72,72,75,53,54,54,54,53,50,45,45,45,50,66,84,68,76,87,76,78,78,73,81,73,67,71,81,75,87,69,66,76,89,44,26,84,77,84,81,35,21,15,6,7,5,4,4,81
79,79,79,74,77,77,77,74,74,74,74,72,67,67,67,72,56,54,54,54,56,54,51,51,51,54,61,84,82,75,79,78,61,62,46,79,69,70,59,78,58,84,74,68,83,75,52,38,79,69,83,82,22,32,35,14,11,9,9,13,81
77,77,77,80,80,80,80,80,81,81,81,79,76,76,76,79,62,62,62,62,62,58,54,54,54,58,78,78,63,83,83,87,79,77,76,85,74,66,83,82,83,77,70,62,62,74,66,45,82,81,72,79,43,42,31,12,10,5,13,14,81
75,75,75,80,79,79,79,80,80,80,80,79,76,76,76,79,61,60,60,60,61,57,50,50,50,57,86,80,59,82,68,85,86,77,83,83,69,65,72,80,72,74,33,54,64,76,53,35,81,84,75,80,41,41,39,9,14,6,10,11,81
79,79,79,74,76,76,76,74,73,73,73,72,67,67,67,72,59,59,59,59,59,58,58,58,58,58,50,81,82,69,70,75,76,76,51,72,84,85,79,82,72,85,92,81,79,82,86,45,79,63,75,68,41,40,34,12,14,6,8,15,80
72,72,72,79,78,78,78,79,78,78,78,79,72,72,72,79,63,56,56,56,63,59,44,44,44,59,77,66,46,75,64,86,76,56,64,84,91,93,88,80,89,75,58,78,40,61,41,43,78,75,59,77,23,38,31,9,11,11,12,8,80
78,78,78,77,77,77,77,77,75,75,75,76,70,70,70,76,65,62,62,62,65,63,60,60,60,63,73,82,76,69,70,81,69,55,65,80,77,81,78,80,75,78,74,75,73,74,69,52,82,65,67,69,48,46,49,9,8,14,8,15,80
79,79,79,72,76,76,76,72,73,73,73,69,66,66,66,69,57,57,57,57,57,56,59,59,59,56,40,84,80,70,79,72,52,46,35,79,68,76,68,82,53,77,80,72,91,64,74,30,84,72,88,74,36,51,46,6,7,14,7,6,80
78,78,78,75,76,76,76,75,72,72,72,72,62,62,62,72,54,49,49,49,54,51,48,48,48,51,65,82,75,64,85,78,66,46,36,80,77,76,75,79,76,81,80,66,78,75,63,23,84,62,67,81,37,26,22,9,10,16,7,15,80
72,72,72,80,78,78,78,80,79,79,79,79,70,70,70,79,59,53,53,53,59,54,42,42,42,54,75,69,40,78,68,88,84,77,62,86,89,88,94,74,77,72,70,70,54,66,40,25,77,76,77,76,34,30,22,12,16,14,11,11,80
79,79,79,77,79,79,79,77,77,77,77,76,71,71,71,76,58,57,57,57,58,55,50,50,50,55,67,85,69,72,74,78,60,57,68,78,77,76,74,85,67,85,77,75,67,84,61,39,83,71,74,76,34,33,25,9,11,8,9,11,80
79,79,79,76,79,79,79,76,78,78,78,76,72,72,72,76,57,58,58,58,57,54,52,52,52,54,57,80,77,75,81,81,80,67,68,80,76,83,72,77,63,81,78,83,85,75,77,33,80,81,76,86,44,23,19,8,10,9,7,8,80
74,74,74,80,79,79,79,80,80,80,80,79,74,74,74,79,62,59,59,59,62,58,48,48,48,58,78,75,53,82,69,84,80,75,74,85,79,76,85,78,85,70,36,74,53,75,48,26,80,78,77,78,54,36,32,15,5,14,13,7,80
78,78,78,70,74,74,74,70,72,72,72,71,70,70,70,71,59,60,60,60,59,58,57,57,57,58,66,79,93,76,83,66,63,66,64,76,53,57,58,81,59,84,81,83,84,69,52,38,84,69,64,77,44,43,37,16,10,8,8,11,80
72,72,72,79,78,78,78,79,80,80,80,79,75,75,75,79,63,61,61,61,63,58,50,50,50,58,88,69,52,82,62,85,83,82,81,84,78,71,81,76,74,80,65,68,58,75,68,43,74,84,58,79,57,23,27,12,7,8,6,10,80
79,79,79,75,77,77,77,75,75,75,75,75,71,71,71,75,62,62,62,62,62,60,60,60,60,60,68,80,87,74,74,78,66,57,65,79,70,69,65,81,62,79,83,81,78,75,81,36,82,69,80,77,45,49,42,16,14,9,16,8,80
77,77,77,77,78,78,78,77,76,76,76,75,67,67,67,75,56,52,52,52,56,52,47,47,47,52,68,80,69,75,75,81,81,70,53,80,84,85,83,78,69,76,78,67,72,73,63,29,79,66,74,74,35,23,19,16,7,13,15,8,80
78,78,78,80,80,80,80,80,80,80,80,80,78,78,78,80,67,69,69,69,67,64,60,60,60,64,69,81,54,78,77,86,80,55,74,84,77,76,87,82,81,83,31,89,73,80,79,55,83,77,80,82,61,62,24,14,13,7,7,15,80
77,77,77,77,78,78,78,77,79,79,79,77,76,76,76,77,61,60,60,60,61,57,51,51,51,57,78,80,70,79,75,78,80,79,76,82,62,60,72,80,73,85,68,82,63,84,53,36,84,82,79,83,39,40,30,15,15,8,10,12,80
77,77,77,76,78,78,78,76,76,76,76,74,68,68,68,74,50,49,49,49,50,46,41,41,41,46,62,83,70,72,73,79,62,68,62,80,72,78,74,78,64,82,70,55,66,79,60,22,81,74,75,81,11,24,12,7,15,9,5,13,80
78,78,78,74,75,75,75,74,73,73,73,73,69,69,69,73,58,59,59,59,58,56,56,56,56,56,72,83,78,70,78,73,77,70,68,73,73,68,66,74,55,84,72,71,89,79,80,51,80,72,78,80,33,41,23,10,15,14,11,11,80
77,77,77,71,74,74,74,71,70,70,70,69,63,63,63,69,51,51,51,51,51,49,51,51,51,49,60,81,82,70,73,72,68,36,50,71,63,66,62,80,50,82,76,60,86,74,73,20,83,62,69,83,40,31,20,8,8,9,7,14,80
78,78,78,76,78,78,78,76,78,78,78,77,77,77,77,77,66,69,69,69,66,64,64,64,64,64,77,80,75,81,83,74,84,83,82,80,65,65,66,82,77,85,74,74,78,80,81,56,80,82,81,86,57,55,40,10,11,13,8,7,80
77,77,77,76,77,77,77,76,76,76,76,74,67,67,67,74,53,51,51,51,53,50,47,47,47,50,68,76,77,79,81,80,80,63,51,79,71,78,70,73,51,83,75,60,72,73,62,20,80,76,74,69,39,22,18,14,13,8,9,10,80
73,73,73,78,78,78,78,78,78,78,78,77,70,70,70,77,60,55,55,55,60,56,47,47,47,56,66,76,50,78,72,87,65,52,52,84,85,86,91,72,84,72,58,73,63,65,52,37,73,78,69,78,32,32,32,14,10,5,13,6,79
78,78,78,77,78,78,78,77,76,76,76,77,70,70,70,77,62,60,60,60,62,60,57,57,57,60,69,79,75,75,64,84,71,65,59,79,83,85,78,78,74,80,80,78,76,64,82,35,78,72,69,77,46,44,36,12,7,8,11,13,79
78,78,78,74,76,76,76,74,73,73,73,72,65,65,65,72,55,53,53,53,55,53,52,52,52,53,56,82,79,62,68,78,71,33,50,79,82,83,79,75,70,79,81,75,86,68,74,31,79,72,59,77,46,22,25,11,8,8,8,13,79
78,78,78,76,79,79,79,76,78,78,78,74,69,69,69,74,52,50,50,50,52,49,43,43,43,49,42,79,73,74,76,82,79,60,56,78,86,82,83,82,69,75,82,80,67,82,43,20,82,75,74,73,27,20,19,9,12,8,10,9,79
78,78,78,75,76,76,76,75,74,74,74,74,69,69,69,74,60,59,59,59,60,58,56,56,56,58,59,82,77,69,79,77,69,33,58,79,77,83,77,77,72,76,84,77,74,60,76,55,83,68,80,75,28,40,35,14,13,7,11,8,79
74,74,74,79,78,78,78,79,78,78,78,78,73,73,73,78,66,63,63,63,66,62,54,54,54,62,76,72,48,76,57,79,72,77,68,76,93,90,92,77,85,84,61,92,73,84,56,49,78,77,59,68,65,34,30,11,10,9,13,7,79
78,78,78,77,77,77,77,77,74,74,74,75,66,66,66,75,55,49,49,49,55,51,43,43,43,51,74,81,74,69,72,80,62,63,58,80,84,83,79,76,75,78,71,70,77,72,43,28,80,65,69,78,27,14,18,10,12,12,8,14,79
70,70,70,79,77,77,77,79,77,77,77,79,73,73,73,79,71,64,64,64,71,67,55,55,55,67,78,65,48,73,55,85,78,76,67,84,93,90,91,82,91,68,60,87,33,64,71,59,75,72,56,81,42,50,53,12,8,9,11,10,79
78,78,78,77,78,78,78,77,76,76,76,76,68,68,68,76,55,52,52,52,55,51,46,46,46,51,67,81,77,74,67,82,73,64,63,83,77,79,78,74,75,75,75,69,76,65,32,21,82,73,69,76,50,20,15,8,14,9,14,13,79
77,77,77,79,79,79,79,79,79,79,79,77,72,72,72,77,62,60,60,60,62,59,53,53,53,59,66,81,54,78,80,85,68,65,62,82,84,79,83,79,75,82,59,68,68,79,55,39,79,74,75,67,39,48,39,8,12,10,10,9,79
77,77,77,72,75,75,75,72,72,72,72,70,64,64,64,70,50,50,50,50,50,48,47,47,47,48,48,84,81,69,76,75,49,43,48,79,71,73,72,71,71,75,90,71,78,62,72,22,85,65,75,74,22,27,20,8,15,7,15,15,79
74,74,74,79,78,78,78,79,77,77,77,78,70,70,70,78,60,55,55,55,60,56,45,45,45,56,72,71,53,75,60,87,77,70,60,83,94,89,93,75,90,81,73,77,54,73,64,38,74,70,71,72,26,27,28,11,13,8,12,8,79
77,77,77,75,76,76,76,75,73,73,73,73,66,66,66,73,58,55,55,55,58,56,53,53,53,56,66,82,72,72,78,76,48,46,52,76,78,79,78,75,78,80,75,72,74,72,65,35,83,65,80,70,44,36,31,15,13,15,14,8,79
77,77,77,73,77,77,77,73,74,74,74,71,65,65,65,71,53,52,52,52,53,51,51,51,51,51,45,74,83,67,75,80,66,54,44,81,80,81,64,80,61,79,92,68,83,64,76,29,78,75,75,72,36,19,24,8,11,16,10,14,79
73,73,73,78,77,77,77,78,78,78,78,78,72,72,72,78,59,56,56,56,59,54,44,44,44,54,75,76,43,77,67,82,83,80,74,81,89,79,83,77,78,76,62,68,63,77,52,37,76,74,75,74,25,30,27,5,11,15,9,9,79
73,73,73,78,77,77,77,78,78,78,78,77,73,73,73,77,60,58,58,58,60,56,47,47,47,56,79,75,48,76,74,82,86,74,76,82,80,75,82,76,70,82,53,72,58,83,63,37,75,76,70,73,34,36,30,9,11,7,7,15,79
77,77,77,73,76,76,76,73,73,73,73,69,64,64,64,69,55,54,54,54,55,53,53,53,53,53,41,82,76,72,81,77,73,64,34,78,76,75,81,77,75,78,77,73,68,79,71,35,80,61,75,78,55,33,21,9,8,9,11,12,79
77,77,77,75,77,77,77,75,74,74,74,73,68,68,68,73,57,56,56,56,57,55,52,52,52,55,52,83,73,71,69,74,63,45,60,77,87,89,74,74,74,76,65,72,75,66,73,40,82,71,75,78,29,39,25,10,15,8,10,6,79
78,78,78,74,76,76,76,74,73,73,73,72,67,67,67,72,55,55,55,55,55,52,51,51,51,52,64,79,82,72,74,75,72,73,60,78,72,75,73,80,66,83,80,73,74,75,75,31,81,61,82,77,33,34,15,12,14,12,12,9,79
77,77,77,72,75,75,75,72,72,72,72,70,66,66,66,70,54,54,54,54,54,52,52,52,52,52,53,80,80,70,81,75,42,46,49,80,65,71,65,75,54,82,74,71,79,75,71,37,79,65,70,63,35,34,21,7,9,8,13,13,79
77,77,77,78,78,78,78,78,78,78,78,78,73,73,73,78,61,59,59,59,61,58,52,52,52,58,73,77,76,81,74,78,70,66,74,81,80,77,72,76,80,76,66,75,65,74,61,33,83,77,72,75,37,41,34,9,14,8,8,7,79
76,76,76,80,79,79,79,80,80,80,80,79,75,75,75,79,66,64,64,64,66,63,55,55,55,63,63,77,54,80,78,80,73,49,70,81,93,90,90,82,83,72,82,83,72,75,52,67,80,79,74,84,30,35,43,10,9,14,7,12,79
